BARID,REGION,DSID,NPROJ,COST,PREPASS_CO,PREPASS_CH,PREPASS_ST,PREPASS_CT,PREPASS_CU,PREPASS_FISH,PREPASS_AgrInf,POSTPASS,sCO,sCH,sST,sCT,sCU,sAgri_Current,sRoadRail_Current,sInundHab_Current,sBuilding_Current,sPublicUse_Current,sAgri_Future,sRoadRail_Future,sInundHab_Future,sBuilding_Future,sPublicUse_Future,Coho_salmon,Chinook_salmon,Steelhead,Cutthroat_Trout,Chum,Agri_Current,RoadRail_Current,InundHab_Current,Building_Current,PublicUse_Current,Agri_Future,RoadRail_Future,InundHab_Future,Building_Future,PublicUse_Future,BarrierType,Name,PrimaryTG,DominantTG,Exclude_Reason,POINT_X,POINT_Y
129ts2,Coos,45ts2,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.008246197,0.03711056,0.008098249,0,0,0.007802233,0.030140758,0.007839377,0,0,,,,0,,14.54874229,0.095948964,14.54873943,,,14.87666035,0.113236614,14.79177284,,,Tide gate,,1,0,,-124.1804086,43.40119479
12Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2595919,43.19541777
12Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.2595811,43.19535752
12Dts1,Coquille,NA,0,815000,0,0,0,0,0,0,0,1,1,0,0.282809434,0.426216729,0,1,0.737541023,1,0.005405405,0,1,0.557278439,1,0.004098361,0.068965517,14.97616622,,3.283278317,9.807968187,,1764.297119,1.906904578,1796.529053,1,,1906.718384,2.093654156,1886.855591,1,2,Tide gate,Winter Lake,1,0,Replaced and restored. Winter Lake,-124.2600425,43.19569185
12ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.01260054,0,0.004066931,0.032928498,0.004449373,0.010810811,0,0.004390722,0.02830146,0.004853777,0.008196721,0,,,,0.289959758,,7.175275326,0.085136287,7.993428707,2,,8.371870995,0.106326506,9.158376694,2,,Tide gate,,1,0,,-124.1537116,43.32116867
12ts5,Umpqua,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary tide gate,-124.1087833,43.70525
130ts2,Coos,45ts2,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.068014657,0,0.020137267,0.014289285,0.020802045,0,0,0.02916825,0.058601975,0.026812314,0.012295082,0.034482759,,,,1.565132361,,35.52812195,0.036944795,37.37147903,,,55.61563873,0.220163316,50.59096527,3,1,Tide gate,,1,0,,-124.180186,43.40123539
132ts2,Coos,99ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.2125405,43.49034909
133ts2,Coos,99ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.02756608,0,0.011994999,0.025813527,0.013558521,0,0,0.011338526,0.019582182,0.013599061,0,0,,,,0.634342159,,21.16274261,0.066740602,24.35827637,,,21.61937523,0.073568821,25.65946388,,,Tide gate,,1,0,,-124.2122197,43.49007527
134ts2,Coos,99ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.2079968,43.49244674
135ts2,Coos,22ts2,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.043689092,0,0.04148531,0.106325493,0.041737906,0.027027027,0,0.039770862,0.110777272,0.04135695,0.020491803,0,,,,1.005359937,,73.19241333,0.274903446,74.98336029,5,,75.83183289,0.416182071,78.03459167,5,,Tide gate,,1,0,,-124.2152328,43.25452401
136ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.001201808,0.010246128,0.001181017,0,0,0.001590996,0.007792654,0.001375206,0,0,,,,0,,2.120346785,0.026491256,2.121731997,,,3.033581972,0.029276429,2.594815969,,,Tide gate,,1,0,,-124.1404587,43.37491307
13743fs2,Coos,67ts2,1,150000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,,-124.2282853,43.26945918
137ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.005543225,0,0.001780081,0,0.001849196,0,0,0.002021877,0,0.00210768,0,0,,,,0.127558983,,3.140590906,,3.32213378,,,3.855149984,,3.976887465,,,Tide gate,,1,0,,-124.1554193,43.31205772
138ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.010734151,0,0.001132845,0.120330993,0.008137183,0.097297297,0.818181818,0.001662292,0.120886541,0.009439528,0.094262295,0.310344828,,,,0.247010989,,1.998674631,0.31111452,14.61868477,18,9,3.169523478,0.454161853,17.81102562,23,9,Tide gate,,1,0,,-124.1973143,43.34727105
139ts2,Coos,NA,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.023290286,0,0,0,0.002282717,0,0,0,0,0.003369832,0.008196721,0,,,,0.535948888,,,,4.100967407,,,,,6.35838604,2,,Tide gate,,1,0,,-124.2295893,43.26534118
13ts1,Coquille,NA,1,815000,0,0,0,0,0,0,0,1,0.224896694,0,0.316263377,0.299861154,0,0.037579134,0,0.038366035,0,0,0.047173956,0.012611549,0.045455453,0,0,3.368090267,,3.671662126,6.900312568,,66.30075836,,68.92569733,,,89.94744873,0.047380663,85.76787567,,,Tide gate,Hatchet Slough,1,0,,-124.2961944,43.15446634
13ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02453884,0,0.025046787,0,0,0.023079058,0.003522524,0.024194373,0.004098361,0,,,,0,,43.29380417,,44.99728012,,,44.00526428,0.013233863,45.65128708,1,,Tide gate,,1,0,,-124.1491329,43.3115369
13ts5,Umpqua,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.026231837,0.808984032,0.025761205,1,0.181818182,0.041594052,1,0.037004296,1,1,,,,0,,46.28075409,2.09161973,46.28075409,185,2,79.30814362,3.756926537,69.82176208,244,29,Tide gate,,1,0,,-124.1094732,43.70312885
14072fs5,Umpqua,5ts5,1,75000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,Non-primary tide gate,-124.1123324,43.74168822
140ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1910532,43.46071668
14158fs2,Coos,15622fs2,1,75000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,,-124.2280393,43.27066218
141ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1893479,43.46003129
142ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0.005048851,0,0.0061563,0.019982254,0.00609294,0,0,0.005709106,0.013751682,0.005836587,0,0,,,,0.116182596,,10.8615427,0.051663909,10.9461441,,,10.88565731,0.051664058,11.01279736,,,Tide gate,,1,0,,-124.2043094,43.45794923
143ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.003227544,0.023310317,0.003256336,0,0,0.003178955,0.026493672,0.003302102,0,0,,,,0,,5.694347382,0.060268581,5.850101471,,,6.061371326,0.09953478,6.230589867,,,Tide gate,,1,0,,-124.2059184,43.45748047
144ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.003120102,0,0.004118992,0,0,0.00337603,0,0.004188619,0.004098361,0,,,,0,,5.504787445,,7.399888515,,,6.437139034,,7.903318405,1,,Tide gate,,1,0,,-124.2060637,43.45618138
145ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1705383,43.45666213
